dataset,seed,variant,step,train_loss,cum_flops,compression
TransformerLM_LM1B_MultiRuntime_0,7,celo,24,8.178825378417969,28484352.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,24,8.98270034790039,14242176.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,24,9.232254028320312,8545305.600000001,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,24,10.76009464263916,5696870.3999999985,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,24,10.784757614135742,4272652.800000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,24,10.77879810333252,2848435.1999999993,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,24,10.917283058166504,1424217.6000000013,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,24,8.257360458374023,7121088.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,25,7.891877174377441,29671200.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,25,8.469430923461914,14835600.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,25,8.62012767791748,8901360.000000002,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,25,10.270777702331543,5934239.999999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,25,10.534791946411133,4450680.000000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,25,10.462211608886719,2967119.9999999995,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,25,10.585348129272461,1483560.0000000014,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,25,7.7715044021606445,7417800.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,26,8.020942687988281,30858048.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,26,8.470871925354004,15429024.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,26,8.550177574157715,9257414.400000002,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,26,10.67887020111084,6171609.599999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,26,10.765702247619629,4628707.200000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,26,10.788763046264648,3085804.7999999993,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,26,10.748598098754883,1542902.4000000013,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,26,8.023702621459961,7714512.0,4.0
