dataset,run,step,optimizer,train_loss,val_loss
TransformerLM_LM1B_MultiRuntime_0,0,28,celo_fp8_e4m3fn,7.990103244781494,7.674901008605957
TransformerLM_LM1B_MultiRuntime_0,0,28,celo_fp8_e5m2,7.968811988830566,7.748513698577881
TransformerLM_LM1B_MultiRuntime_0,0,28,celo_int8,7.905207633972168,7.557353973388672
TransformerLM_LM1B_MultiRuntime_0,0,28,celo_int4,8.43656063079834,8.023502349853516
TransformerLM_LM1B_MultiRuntime_0,0,29,celo_fp32,8.194757461547852,7.075490951538086
TransformerLM_LM1B_MultiRuntime_0,0,29,celo_bf16,8.044746398925781,6.92549991607666
TransformerLM_LM1B_MultiRuntime_0,0,29,celo_fp16,8.126092910766602,7.07000732421875
TransformerLM_LM1B_MultiRuntime_0,0,29,celo_fp8_e4m3fn,8.237069129943848,7.075565338134766
TransformerLM_LM1B_MultiRuntime_0,0,29,celo_fp8_e5m2,8.250328063964844,6.990535259246826
TransformerLM_LM1B_MultiRuntime_0,0,29,celo_int8,8.116077423095703,7.187436580657959
TransformerLM_LM1B_MultiRuntime_0,0,29,celo_int4,8.29474925994873,7.254574298858643
TransformerLM_LM1B_MultiRuntime_0,0,30,celo_fp32,7.508764743804932,8.77641487121582
TransformerLM_LM1B_MultiRuntime_0,0,30,celo_bf16,7.45810079574585,8.828428268432617
TransformerLM_LM1B_MultiRuntime_0,0,30,celo_fp16,7.399978160858154,8.82927131652832
TransformerLM_LM1B_MultiRuntime_0,0,30,celo_fp8_e4m3fn,7.697817802429199,8.928104400634766
TransformerLM_LM1B_MultiRuntime_0,0,30,celo_fp8_e5m2,7.520329475402832,8.78257942199707
TransformerLM_LM1B_MultiRuntime_0,0,30,celo_int8,7.457192897796631,8.8441162109375
TransformerLM_LM1B_MultiRuntime_0,0,30,celo_int4,7.608997344970703,9.046377182006836
TransformerLM_LM1B_MultiRuntime_0,0,31,celo_fp32,8.623563766479492,7.968105316162109
TransformerLM_LM1B_MultiRuntime_0,0,31,celo_bf16,8.520137786865234,7.94162130355835
TransformerLM_LM1B_MultiRuntime_0,0,31,celo_fp16,8.707481384277344,7.9802045822143555
TransformerLM_LM1B_MultiRuntime_0,0,31,celo_fp8_e4m3fn,8.507463455200195,8.01291561126709
TransformerLM_LM1B_MultiRuntime_0,0,31,celo_fp8_e5m2,8.619195938110352,8.242807388305664
TransformerLM_LM1B_MultiRuntime_0,0,31,celo_int8,8.573661804199219,7.988064765930176
TransformerLM_LM1B_MultiRuntime_0,0,31,celo_int4,8.787918090820312,8.29092788696289
TransformerLM_LM1B_MultiRuntime_0,0,32,celo_fp32,8.379698753356934,8.473812103271484
TransformerLM_LM1B_MultiRuntime_0,0,32,celo_bf16,8.439566612243652,8.540307998657227
TransformerLM_LM1B_MultiRuntime_0,0,32,celo_fp16,8.464753150939941,8.515645980834961
TransformerLM_LM1B_MultiRuntime_0,0,32,celo_fp8_e4m3fn,8.529829978942871,8.336912155151367
TransformerLM_LM1B_MultiRuntime_0,0,32,celo_fp8_e5m2,8.52066421508789,8.371667861938477
TransformerLM_LM1B_MultiRuntime_0,0,32,celo_int8,8.453958511352539,8.342534065246582
TransformerLM_LM1B_MultiRuntime_0,0,32,celo_int4,8.802497863769531,8.747108459472656
TransformerLM_LM1B_MultiRuntime_0,0,33,celo_fp32,6.773910045623779,7.775739669799805
TransformerLM_LM1B_MultiRuntime_0,0,33,celo_bf16,6.784997940063477,7.793950080871582
TransformerLM_LM1B_MultiRuntime_0,0,33,celo_fp16,6.629132270812988,7.785174369812012
TransformerLM_LM1B_MultiRuntime_0,0,33,celo_fp8_e4m3fn,6.692131042480469,7.81218957901001
TransformerLM_LM1B_MultiRuntime_0,0,33,celo_fp8_e5m2,6.621435165405273,7.878424644470215
TransformerLM_LM1B_MultiRuntime_0,0,33,celo_int8,6.953361511230469,7.833280563354492
TransformerLM_LM1B_MultiRuntime_0,0,33,celo_int4,7.147552967071533,7.789436340332031
TransformerLM_LM1B_MultiRuntime_0,0,34,celo_fp32,7.279621601104736,7.829397201538086
TransformerLM_LM1B_MultiRuntime_0,0,34,celo_bf16,7.274043560028076,7.940877914428711
TransformerLM_LM1B_MultiRuntime_0,0,34,celo_fp16,7.389328956604004,7.8602399826049805
TransformerLM_LM1B_MultiRuntime_0,0,34,celo_fp8_e4m3fn,7.159168243408203,7.959537029266357
TransformerLM_LM1B_MultiRuntime_0,0,34,celo_fp8_e5m2,7.2980546951293945,7.903881072998047
TransformerLM_LM1B_MultiRuntime_0,0,34,celo_int8,7.3379621505737305,7.853979110717773
TransformerLM_LM1B_MultiRuntime_0,0,34,celo_int4,7.9900007247924805,8.23968505859375
TransformerLM_LM1B_MultiRuntime_0,0,35,celo_fp32,7.565185546875,7.491743564605713
TransformerLM_LM1B_MultiRuntime_0,0,35,celo_bf16,7.408487319946289,7.549045562744141
TransformerLM_LM1B_MultiRuntime_0,0,35,celo_fp16,7.41271448135376,7.556748867034912
TransformerLM_LM1B_MultiRuntime_0,0,35,celo_fp8_e4m3fn,7.423476219177246,7.642759323120117
TransformerLM_LM1B_MultiRuntime_0,0,35,celo_fp8_e5m2,7.525341510772705,7.638716697692871
TransformerLM_LM1B_MultiRuntime_0,0,35,celo_int8,7.491847038269043,7.705607891082764
TransformerLM_LM1B_MultiRuntime_0,0,35,celo_int4,7.589823246002197,7.788816452026367
TransformerLM_LM1B_MultiRuntime_0,0,36,celo_fp32,7.134122848510742,8.663357734680176
TransformerLM_LM1B_MultiRuntime_0,0,36,celo_bf16,7.123470306396484,8.653091430664062
TransformerLM_LM1B_MultiRuntime_0,0,36,celo_fp16,7.075534343719482,8.693391799926758
TransformerLM_LM1B_MultiRuntime_0,0,36,celo_fp8_e4m3fn,7.124073028564453,8.661439895629883
TransformerLM_LM1B_MultiRuntime_0,0,36,celo_fp8_e5m2,7.217223167419434,8.545804977416992
TransformerLM_LM1B_MultiRuntime_0,0,36,celo_int8,7.2537994384765625,8.761632919311523
TransformerLM_LM1B_MultiRuntime_0,0,36,celo_int4,7.351556777954102,9.096456527709961
TransformerLM_LM1B_MultiRuntime_0,0,37,celo_fp32,8.343762397766113,7.648294448852539
TransformerLM_LM1B_MultiRuntime_0,0,37,celo_bf16,8.52338981628418,7.58318567276001
TransformerLM_LM1B_MultiRuntime_0,0,37,celo_fp16,8.42103385925293,7.526354789733887
TransformerLM_LM1B_MultiRuntime_0,0,37,celo_fp8_e4m3fn,8.449444770812988,7.671469688415527
TransformerLM_LM1B_MultiRuntime_0,0,37,celo_fp8_e5m2,8.519886016845703,7.550117492675781
TransformerLM_LM1B_MultiRuntime_0,0,37,celo_int8,8.30810832977295,7.737501621246338
TransformerLM_LM1B_MultiRuntime_0,0,37,celo_int4,8.544157028198242,7.68659782409668
TransformerLM_LM1B_MultiRuntime_0,0,38,celo_fp32,7.345179557800293,7.613651275634766
TransformerLM_LM1B_MultiRuntime_0,0,38,celo_bf16,7.220803260803223,7.862290382385254
TransformerLM_LM1B_MultiRuntime_0,0,38,celo_fp16,7.266034126281738,7.637107849121094
TransformerLM_LM1B_MultiRuntime_0,0,38,celo_fp8_e4m3fn,7.243060111999512,7.6538166999816895
TransformerLM_LM1B_MultiRuntime_0,0,38,celo_fp8_e5m2,7.244475364685059,7.608919620513916
TransformerLM_LM1B_MultiRuntime_0,0,38,celo_int8,7.212437629699707,7.658001899719238
TransformerLM_LM1B_MultiRuntime_0,0,38,celo_int4,7.377746105194092,7.908797264099121
TransformerLM_LM1B_MultiRuntime_0,0,39,celo_fp32,8.07282543182373,8.072608947753906
TransformerLM_LM1B_MultiRuntime_0,0,39,celo_bf16,7.97775411605835,8.062851905822754
TransformerLM_LM1B_MultiRuntime_0,0,39,celo_fp16,7.8554863929748535,8.253604888916016
